benchmark,instance_id,query_index,source,attempt,zero_tol,small_tol,artifact
sat_relu,0,0,small_dense_lp_witness,0,1,1,sat_relu_0_q0_small_dense_lp_witness_0.json
sat_relu,4,0,hz_walker_lp,0,1,1,sat_relu_4_q0_hz_walker_lp_0.json
sat_relu,6,0,small_dense_lp_witness,0,1,1,sat_relu_6_q0_small_dense_lp_witness_0.json
sat_relu,10,0,small_dense_lp_witness,0,1,1,sat_relu_10_q0_small_dense_lp_witness_0.json
sat_relu,12,0,small_dense_lp_witness,0,1,1,sat_relu_12_q0_small_dense_lp_witness_0.json
sat_relu,18,0,small_dense_lp_witness,0,1,1,sat_relu_18_q0_small_dense_lp_witness_0.json
sat_relu,24,0,small_dense_lp_witness,0,1,1,sat_relu_24_q0_small_dense_lp_witness_0.json
sat_relu,30,0,small_dense_lp_witness,0,1,1,sat_relu_30_q0_small_dense_lp_witness_0.json
sat_relu,34,0,hz_walker_lp,0,1,1,sat_relu_34_q0_hz_walker_lp_0.json
sat_relu,38,0,small_dense_lp_witness,0,1,1,sat_relu_38_q0_small_dense_lp_witness_0.json
sat_relu,44,0,small_dense_lp_witness,0,1,1,sat_relu_44_q0_small_dense_lp_witness_0.json
sat_relu,50,0,hz_walker_lp,0,1,1,sat_relu_50_q0_hz_walker_lp_0.json
sat_relu,52,0,small_dense_lp_witness,0,1,1,sat_relu_52_q0_small_dense_lp_witness_0.json
sat_relu,54,0,small_dense_lp_witness,0,1,1,sat_relu_54_q0_small_dense_lp_witness_0.json
sat_relu,56,0,hz_walker_lp,0,1,1,sat_relu_56_q0_hz_walker_lp_0.json
sat_relu,68,0,small_dense_lp_witness,0,1,1,sat_relu_68_q0_small_dense_lp_witness_0.json
sat_relu,74,0,small_dense_lp_witness,0,1,1,sat_relu_74_q0_small_dense_lp_witness_0.json
sat_relu,76,0,small_dense_lp_witness,0,1,1,sat_relu_76_q0_small_dense_lp_witness_0.json
sat_relu,86,0,hz_walker_lp,0,1,1,sat_relu_86_q0_hz_walker_lp_0.json
sat_relu,88,0,hz_walker_lp,0,1,1,sat_relu_88_q0_hz_walker_lp_0.json
sat_relu,94,0,small_dense_lp_witness,0,1,1,sat_relu_94_q0_small_dense_lp_witness_0.json
