benchmark,instance_id,query_index,source,attempt,zero_tol,small_tol,artifact
acasxu_2023,58,0,small_dense_lp_witness,0,1,1,acasxu_2023_58_q0_small_dense_lp_witness_0.json
acasxu_2023,61,0,small_dense_lp_witness,0,1,1,acasxu_2023_61_q0_small_dense_lp_witness_0.json
acasxu_2023,67,0,small_dense_lp_witness,0,1,1,acasxu_2023_67_q0_small_dense_lp_witness_0.json
acasxu_2023,75,0,small_dense_lp_witness,0,1,1,acasxu_2023_75_q0_small_dense_lp_witness_0.json
acasxu_2023,78,0,small_dense_lp_witness,0,1,1,acasxu_2023_78_q0_small_dense_lp_witness_0.json
acasxu_2023,79,0,small_dense_lp_witness,0,1,1,acasxu_2023_79_q0_small_dense_lp_witness_0.json
acasxu_2023,84,0,small_dense_lp_witness,0,1,1,acasxu_2023_84_q0_small_dense_lp_witness_0.json
acasxu_2023,86,0,small_dense_lp_witness,0,1,1,acasxu_2023_86_q0_small_dense_lp_witness_0.json
acasxu_2023,87,0,small_dense_lp_witness,0,1,1,acasxu_2023_87_q0_small_dense_lp_witness_0.json
acasxu_2023,96,0,small_dense_lp_witness,0,1,1,acasxu_2023_96_q0_small_dense_lp_witness_0.json
acasxu_2023,97,0,small_dense_lp_witness,0,1,1,acasxu_2023_97_q0_small_dense_lp_witness_0.json
acasxu_2023,98,0,small_dense_lp_witness,0,1,1,acasxu_2023_98_q0_small_dense_lp_witness_0.json
acasxu_2023,141,0,small_dense_lp_witness,0,1,1,acasxu_2023_141_q0_small_dense_lp_witness_0.json
acasxu_2023,142,0,small_dense_lp_witness,0,1,1,acasxu_2023_142_q0_small_dense_lp_witness_0.json
acasxu_2023,143,0,small_dense_lp_witness,0,1,1,acasxu_2023_143_q0_small_dense_lp_witness_0.json
