benchmark,instance_id,query_index,source,attempt,zero_tol,small_tol,artifact
sat_relu,78,0,hz_walker_lp,0,1,1,sat_relu_78_q0_hz_walker_lp_0.json
sat_relu,80,0,hz_walker_lp,0,1,1,sat_relu_80_q0_hz_walker_lp_0.json
sat_relu,82,0,hz_walker_lp,0,1,1,sat_relu_82_q0_hz_walker_lp_0.json
sat_relu,84,0,hz_walker_lp,0,1,1,sat_relu_84_q0_hz_walker_lp_0.json
sat_relu,86,0,hz_walker_lp,0,1,1,sat_relu_86_q0_hz_walker_lp_0.json
sat_relu,88,0,hz_walker_lp,0,1,1,sat_relu_88_q0_hz_walker_lp_0.json
sat_relu,90,0,hz_walker_lp,0,1,1,sat_relu_90_q0_hz_walker_lp_0.json
sat_relu,92,0,hz_walker_lp,0,1,1,sat_relu_92_q0_hz_walker_lp_0.json
sat_relu,96,0,hz_walker_lp,0,1,1,sat_relu_96_q0_hz_walker_lp_0.json
sat_relu,98,0,hz_walker_lp,0,1,1,sat_relu_98_q0_hz_walker_lp_0.json
