Running analysis with 1 processes, domains = ['con_z'], scorer = better, timemout = 100

Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 0, Remaining: 0
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 0, Remaining: 0
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 1, Remaining: 2
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 1, Remaining: 2
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 2, Remaining: 3
Safe_volume: 0.0000% |                              | Time: 00:07 s, Done: 2, Remaining: 3
Safe_volume: 0.0000% |                              | Time: 00:07 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:08 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:08 s, Done: 4, Remaining: 5
Safe_volume: 0.0000% |                              | Time: 00:09 s, Done: 4, Remaining: 5
Safe_volume: 0.0000% |                              | Time: 00:09 s, Done: 5, Remaining: 6
Safe_volume: 0.0000% |                              | Time: 00:10 s, Done: 5, Remaining: 6
Safe_volume: 0.0000% |                              | Time: 00:10 s, Done: 6, Remaining: 7
Safe_volume: 0.0000% |                              | Time: 00:12 s, Done: 6, Remaining: 7
Safe_volume: 0.0000% |                              | Time: 00:12 s, Done: 7, Remaining: 8
Safe_volume: 0.0000% |                              | Time: 00:13 s, Done: 7, Remaining: 8
Safe_volume: 0.0000% |                              | Time: 00:13 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:15 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:15 s, Done: 9, Remaining: 10
Safe_volume: 0.0000% |                              | Time: 00:17 s, Done: 9, Remaining: 10
Safe_volume: 0.0000% |                              | Time: 00:17 s, Done: 10, Remaining: 11
Safe_volume: 0.0000% |                              | Time: 00:19 s, Done: 10, Remaining: 11
Safe_volume: 0.0000% |                              | Time: 00:19 s, Done: 11, Remaining: 12
Safe_volume: 0.0000% |                              | Time: 00:21 s, Done: 11, Remaining: 12
Safe_volume: 0.0000% |                              | Time: 00:21 s, Done: 12, Remaining: 13
Safe_volume: 0.0000% |                              | Time: 00:23 s, Done: 12, Remaining: 13
Safe_volume: 0.0000% |                              | Time: 00:23 s, Done: 13, Remaining: 14
Safe_volume: 0.0000% |                              | Time: 00:24 s, Done: 13, Remaining: 14
Safe_volume: 0.0000% |                              | Time: 00:24 s, Done: 14, Remaining: 15
Safe_volume: 0.0000% |                              | Time: 00:25 s, Done: 14, Remaining: 15
Safe_volume: 0.0000% |                              | Time: 00:25 s, Done: 15, Remaining: 16
Safe_volume: 0.0000% |                              | Time: 00:25 s, Done: 15, Remaining: 16
Safe_volume: 0.0000% |                              | Time: 00:25 s, Done: 16, Remaining: 17
Safe_volume: 0.0000% |                              | Time: 00:27 s, Done: 16, Remaining: 17
Safe_volume: 0.0000% |                              | Time: 00:27 s, Done: 17, Remaining: 18
Safe_volume: 0.0000% |                              | Time: 00:28 s, Done: 17, Remaining: 18
Safe_volume: 0.0000% |                              | Time: 00:28 s, Done: 18, Remaining: 19
Safe_volume: 0.0000% |                              | Time: 00:30 s, Done: 18, Remaining: 19
Safe_volume: 0.0000% |                              | Time: 00:30 s, Done: 19, Remaining: 20
Safe_volume: 0.0000% |                              | Time: 00:31 s, Done: 19, Remaining: 20
Safe_volume: 0.0000% |                              | Time: 00:31 s, Done: 20, Remaining: 21
Safe_volume: 0.0000% |                              | Time: 00:33 s, Done: 20, Remaining: 21
Safe_volume: 0.0000% |                              | Time: 00:33 s, Done: 21, Remaining: 22
Safe_volume: 0.0000% |                              | Time: 00:34 s, Done: 21, Remaining: 22
Safe_volume: 0.0000% |                              | Time: 00:34 s, Done: 22, Remaining: 23
Safe_volume: 0.0000% |                              | Time: 00:36 s, Done: 22, Remaining: 23
Safe_volume: 0.0000% |                              | Time: 00:36 s, Done: 23, Remaining: 24
Safe_volume: 0.0000% |                              | Time: 00:37 s, Done: 23, Remaining: 24
Safe_volume: 0.0000% |                              | Time: 00:37 s, Done: 24, Remaining: 25
Safe_volume: 0.0000% |                              | Time: 00:39 s, Done: 24, Remaining: 25
Safe_volume: 0.0000% |                              | Time: 00:39 s, Done: 25, Remaining: 26
Safe_volume: 0.0000% |                              | Time: 00:41 s, Done: 25, Remaining: 26
Safe_volume: 0.0000% |                              | Time: 00:41 s, Done: 26, Remaining: 27
Safe_volume: 0.0000% |                              | Time: 00:42 s, Done: 26, Remaining: 27
Safe_volume: 0.0000% |                              | Time: 00:42 s, Done: 27, Remaining: 28
Safe_volume: 0.0000% |                              | Time: 00:43 s, Done: 27, Remaining: 28
Safe_volume: 0.0000% |                              | Time: 00:43 s, Done: 28, Remaining: 29
Safe_volume: 0.0000% |                              | Time: 00:44 s, Done: 28, Remaining: 29
Safe_volume: 0.0000% |                              | Time: 00:44 s, Done: 29, Remaining: 30
Safe_volume: 0.0000% |                              | Time: 00:45 s, Done: 29, Remaining: 30
Safe_volume: 0.0000% |                              | Time: 00:45 s, Done: 30, Remaining: 31
Safe_volume: 0.0000% |                              | Time: 00:47 s, Done: 30, Remaining: 31
Safe_volume: 0.0000% |                              | Time: 00:47 s, Done: 31, Remaining: 32
Safe_volume: 0.0000% |                              | Time: 00:48 s, Done: 31, Remaining: 32
Safe_volume: 0.0000% |                              | Time: 00:48 s, Done: 32, Remaining: 33
Safe_volume: 0.0000% |                              | Time: 00:50 s, Done: 32, Remaining: 33
Safe_volume: 0.0000% |                              | Time: 00:50 s, Done: 33, Remaining: 34
Safe_volume: 0.0000% |                              | Time: 00:51 s, Done: 33, Remaining: 34
Safe_volume: 0.0000% |                              | Time: 00:51 s, Done: 34, Remaining: 35
Safe_volume: 0.0000% |                              | Time: 00:52 s, Done: 34, Remaining: 35
Safe_volume: 0.0000% |                              | Time: 00:52 s, Done: 35, Remaining: 36
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 35, Remaining: 36
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 36, Remaining: 37
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 36, Remaining: 37
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 37, Remaining: 38
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 37, Remaining: 38
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 38, Remaining: 39
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 38, Remaining: 39
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 39, Remaining: 40
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 39, Remaining: 40
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 40, Remaining: 41
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 40, Remaining: 41
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 42, Remaining: 43
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 42, Remaining: 43
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 43, Remaining: 44
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 43, Remaining: 44
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 44, Remaining: 45
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 44, Remaining: 45
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 46, Remaining: 47
Safe_volume: 0.0000% |                              | Time: 00:57 s, Done: 46, Remaining: 47
Safe_volume: 0.0000% |                              | Time: 00:57 s, Done: 47, Remaining: 48
Safe_volume: 0.0000% |                              | Time: 00:57 s, Done: 47, Remaining: 48
Safe_volume: 0.0000% |                              | Time: 00:57 s, Done: 48, Remaining: 49
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 48, Remaining: 49
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 50, Remaining: 51
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 50, Remaining: 51
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 51, Remaining: 52
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 51, Remaining: 52
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 52, Remaining: 53
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 52, Remaining: 53
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 53, Remaining: 54
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 53, Remaining: 54
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 54, Remaining: 55
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 54, Remaining: 55
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 55, Remaining: 56
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 55, Remaining: 56
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 56, Remaining: 57
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 56, Remaining: 57
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 57, Remaining: 58
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 57, Remaining: 58
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 58, Remaining: 59
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 58, Remaining: 59
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 59, Remaining: 60
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 59, Remaining: 60
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 60, Remaining: 61
